#   Full data used in Becker et al. 2018
# data sources: K2 campaign 5 (K2 C5)
#               K2 campaign 18 (K2 C18)
#               HATNet survey (HAT)
#               Kelt (KELT)
#               WASP (WASP)
#   Errors are uniquely derived for HAT/KELT/WASP
# data sets. 
#   In the paper, we scale errors so that flat line 
# model has a chi-sq of 1, but that scaling is not
# reflected in this data file. 
#   K2 errors are set to the K2 precision for each 
# K2 campaign.
# Flux and error are normalized.
# BJD and BJD-2454833 are given in days.
#
,BJD,BJD-2454833,Flux,Error,Data_Source
319,2457147.314,2314.3135,0.99994259,3.80E-05,K2 C5
320,2457147.334,2314.3339,0.99995711,3.80E-05,K2 C5
321,2457147.354,2314.3543,1.0000215,3.80E-05,K2 C5
322,2457147.375,2314.3748,1.0000063,3.80E-05,K2 C5
323,2457147.416,2314.4156,1.0000395,3.80E-05,K2 C5
324,2457147.436,2314.4361,1.0000532,3.80E-05,K2 C5
325,2457147.457,2314.4565,1.0000045,3.80E-05,K2 C5
326,2457147.477,2314.4769,0.99994847,3.80E-05,K2 C5
327,2457147.497,2314.4974,0.99999309,3.80E-05,K2 C5
328,2457147.518,2314.5178,1.0000159,3.80E-05,K2 C5
329,2457147.538,2314.5382,0.99998513,3.80E-05,K2 C5
330,2457147.559,2314.5587,1.0000014,3.80E-05,K2 C5
331,2457147.579,2314.5791,0.99998973,3.80E-05,K2 C5
332,2457147.6,2314.5995,0.99997041,3.80E-05,K2 C5
333,2457147.62,2314.62,1.0000754,3.80E-05,K2 C5
334,2457147.64,2314.6404,1.0000692,3.80E-05,K2 C5
335,2457147.661,2314.6608,0.99996218,3.80E-05,K2 C5
336,2457147.681,2314.6813,0.99999156,3.80E-05,K2 C5
337,2457147.702,2314.7017,0.99999933,3.80E-05,K2 C5
338,2457147.722,2314.7221,1.0000638,3.80E-05,K2 C5
339,2457147.743,2314.7426,1.0000421,3.80E-05,K2 C5
340,2457147.763,2314.763,0.99994541,3.80E-05,K2 C5
341,2457147.783,2314.7834,1.0000252,3.80E-05,K2 C5
342,2457147.804,2314.8039,0.99997004,3.80E-05,K2 C5
343,2457147.824,2314.8243,0.9999635,3.80E-05,K2 C5
344,2457147.845,2314.8447,0.99995788,3.80E-05,K2 C5
345,2457147.865,2314.8651,0.99997441,3.80E-05,K2 C5
346,2457147.906,2314.906,0.99999433,3.80E-05,K2 C5
347,2457147.926,2314.9264,0.99994492,3.80E-05,K2 C5
348,2457147.947,2314.9469,1.0000223,3.80E-05,K2 C5
349,2457147.967,2314.9673,0.99995129,3.80E-05,K2 C5
