,trial,End_Time(yrs),whole_system_stable,planet
464,4655,1000614.648,yes,2
465,4656,605662.8321,no,0
466,4656,605662.8321,no,1
467,4656,615933.8088,no,2
468,4657,417.7473745,no,0
469,4657,417.7473745,no,1
470,4657,422.3030463,no,2
471,4658,1000614.648,yes,0
472,4658,1000614.648,yes,1
473,4658,1000614.648,yes,2
474,4659,21450.02494,no,0
475,4659,21450.02494,no,1
476,4659,22182.07681,no,2
477,4660,173301.1734,no,0
478,4660,173301.1734,no,1
479,4660,219003.3026,no,2
480,4661,163364.9591,no,0
481,4661,163364.9591,no,1
482,4661,169538.5552,no,2
483,4662,6728.698284,no,0
484,4662,58.3044666,no,1
485,4662,58.3044666,no,2
486,4663,1000614.648,yes,0
487,4663,1000614.648,yes,1
488,4663,1000614.648,yes,2
489,4664,1000614.648,yes,0
490,4664,1000614.648,yes,1
491,4664,1000614.648,yes,2
492,4665,379.4050657,no,0
493,4665,379.4050657,no,1
494,4665,1000614.648,no,2
495,4666,610857.6108,no,0
496,4666,5453.801024,no,1
497,4666,5453.801024,no,2
498,4667,1000614.648,yes,0
499,4667,1000614.648,yes,1
500,4667,1000614.648,yes,2
501,4668,1000614.648,yes,0
502,4668,1000614.648,yes,1
503,4668,1000614.648,yes,2
504,4669,10401.76523,no,0
505,4669,2076.649951,no,1
506,4669,2076.649951,no,2
507,4670,1000614.648,yes,0
508,4670,1000614.648,yes,1
509,4670,1000614.648,yes,2
510,4671,15601.61165,no,0
511,4671,15601.61165,no,1
512,4671,15739.67484,no,2
513,4672,6330.31155,no,0
514,4672,6330.31155,no,1
515,4672,7427.369593,no,2
516,4673,35056.83534,no,0
517,4673,35056.83534,no,1
518,4673,37689.65837,no,2
519,4674,191101.0593,no,0
520,4674,191101.0593,no,1
521,4674,202800.0121,no,2
522,4675,74.303497,no,0
523,4675,46.4409742,no,1
524,4675,46.4409742,no,2
525,4676,1000614.648,yes,0
526,4676,1000614.648,yes,1
527,4676,1000614.648,yes,2
528,4677,7851.030144,no,0
529,4677,7847.584706,no,1
530,4677,7847.584706,no,2
531,4678,5789.390306,no,0
532,4678,1197.546671,no,1
533,4678,1197.546671,no,2
534,4679,1000614.648,yes,0
535,4679,1000614.648,yes,1
536,4679,1000614.648,yes,2
537,4680,2200.481564,no,0
538,4680,2200.481564,no,1
539,4680,3682.001364,no,2
540,4681,1000614.648,yes,0
541,4681,1000614.648,yes,1
542,4681,1000614.648,yes,2
543,4682,77398.30894,no,0
544,4682,77398.30894,no,1
545,4682,84303.62182,no,2
546,4683,70.9916637,no,0
547,4683,34.2928335,no,1
548,4683,34.2928335,no,2
549,4684,32162.19288,no,0
550,4684,32162.19288,no,1
551,4684,46368.24093,no,2
552,4685,1000614.648,yes,0
553,4685,1000614.648,yes,1
554,4685,1000614.648,yes,2
555,4686,47201.95865,no,0
556,4686,37879.85442,no,1
557,4686,37879.85442,no,2
558,4687,1962.472466,no,0
559,4687,1962.472466,no,1
560,4687,36309.31879,no,2
561,4688,100.8646522,no,0
562,4688,100.8646522,no,1
563,4688,4870.413561,no,2
564,4689,1000614.648,yes,0
565,4689,1000614.648,yes,1
566,4689,1000614.648,yes,2
567,4690,13969.54347,no,0
568,4690,315.8748434,no,1
569,4690,315.8748434,no,2
570,4691,38418.03841,no,0
571,4691,38418.03841,no,1
572,4691,56009.51735,no,2
573,4692,6287.995703,no,0
574,4692,206.0898085,no,1
575,4692,206.0898085,no,2
576,4693,1000614.648,yes,0
577,4693,1000614.648,yes,1
578,4693,1000614.648,yes,2
579,4694,71248.38379,no,0
580,4694,70905.03727,no,1
581,4694,70905.03727,no,2
582,4695,17173.14434,no,0
583,4695,5556.101352,no,1
584,4695,5556.101352,no,2
585,4696,2265.125378,no,0
586,4696,2265.125378,no,1
587,4696,23695.45625,no,2
588,4697,1000614.648,yes,0
589,4697,1000614.648,yes,1
590,4697,1000614.648,yes,2
591,4698,55218.76258,no,0
592,4698,55218.76258,no,1
593,4698,89281.79221,no,2
594,4699,62973.44363,no,0
595,4699,21575.17173,no,1
596,4699,21575.17173,no,2
597,4700,44668.93425,no,0
598,4700,44523.46159,no,1
599,4700,44523.46159,no,2
600,4701,1000614.648,yes,0
601,4701,1000614.648,yes,1
602,4701,1000614.648,yes,2
603,4702,25093.05481,no,0
